Time (months),Exponential,Harmonic,Hyperbolic
0,1000.0,1000.0,1000.0
1,860.7079764250578,869.5652173913044,867.0694576212156
2,740.8182206817179,769.2307692307692,761.6144675397957
3,637.6281516217733,689.6551724137931,676.2481147579828
4,548.8116360940265,625.0,605.961765571985
5,472.3665527410147,571.4285714285714,547.2502108836414
6,406.56965974059915,526.3157894736843,497.5936744575514
7,349.9377491111553,487.80487804878055,455.1385286888052
8,301.19421191220215,454.5454545454545,418.4936034054809
9,259.24026064589157,425.5319148936171,386.5963115637143
10,223.1301601484298,400.0,358.62234112625066
11,192.04990862075414,377.35849056603774,333.9233208039543
12,165.29888822158657,357.14285714285717,311.98290756455
13,142.2740715865136,338.9830508474576,292.38528171913714
14,122.45642825298191,322.5806451612903,274.79216925526754
15,105.39922456186433,307.6923076923077,258.9258322748165
16,90.7179532894125,294.11764705882354,244.55630593405058
17,78.08166600115317,281.69014084507046,231.49170267273314
18,67.20551273974978,270.2702702702703,219.57076265145997
19,57.84432087483846,259.7402597402597,208.65707001452847
20,49.787068367863945,250.0,198.63451901811953
21,42.852126867040184,240.96385542168673,189.4037280749444
22,36.883167401240016,232.55813953488374,180.8791799228758
23,31.745636378067953,224.71910112359555,172.9869232058511
24,27.323722447292567,217.3913043478261,165.66271189021944
25,23.517745856009107,210.52631578947367,158.85048891381874
26,20.24191144580439,204.0816326530612,152.50114253396302
27,17.422374639493516,198.01980198019803,146.5714802473924
28,14.995576820477703,192.3076923076923,141.02337746421253
29,12.906812580479873,186.9158878504673,135.82306743175866
30,11.108996538242305,181.8181818181818,130.9405460089344
31,9.561601930543514,176.9911504424779,126.34907035228808
32,8.22974704902003,172.41379310344828,122.02473480253728
33,7.083408929052118,168.0672268907563,117.94611055528446
34,6.096746565515638,163.9344262295082,114.0939382845472
35,5.247518399181384,160.0,110.45086492795738
36,4.51658094261267,156.25,107.00121746221944
37,3.8874572434761303,152.67175572519085,103.73080779046356
38,3.345965457471272,149.2537313432836,100.62676390083533
39,2.879899158088243,145.98540145985402,97.67738329265926
40,2.4787521766663585,142.85714285714286,94.87200534486749
41,2.13348177003771,139.86013986013987,92.20089985370547
42,1.8363047770289072,136.986301369863,89.65516941840566
43,1.580522168736217,134.2281879194631,87.22666372446353
44,1.360368037547894,131.57894736842107,84.90790408001519
45,1.1708796207911745,129.03225806451613,82.69201681400737
46,1.0077854290485113,126.58227848101266,80.57267435521413
47,0.8674089573070025,124.22360248447204,78.54404298656813
48,0.7465858083766799,121.95121951219514,76.60073641604468
49,0.6425923603555579,119.76047904191617,74.7377744285516
50,0.5530843701478336,117.6470588235294,72.95054598704618
51,0.4760441290222698,115.606936416185,71.23477623876478
52,0.40973497897978683,113.63636363636363,69.58649695672527
53,0.35266216462825606,111.731843575419,68.00202000977893
54,0.3035391380788668,109.8901098901099,66.47791350826638
55,0.2612585573016675,108.10810810810811,65.01098031828138
56,0.2248673241788482,106.38297872340425,63.59823867690267
57,0.19354509955809418,104.71204188481677,62.23690467455414
58,0.16658581098763353,103.09278350515464,60.92437639974632
59,0.14338173627629316,101.52284263959392,59.658219566557015
60,0.12340980408667956,100.0,58.4361544669182
61,0.10621980274645874,98.52216748768473,57.25604410859379
62,0.09142423147817343,97.0873786407767,56.11588341607555
63,0.0786895652717947,95.69377990430623,55.01378938585064
64,0.0677287364908539,94.33962264150944,53.94799209990042
65,0.05829466373086881,93.02325581395348,52.91682651213152
66,0.050174682056175285,91.74311926605505,51.9187249319327
67,0.04318574906034135,90.49773755656109,50.952210137375936
68,0.037170318684126735,89.28571428571429,50.01588905789722
69,0.031992789777689226,88.1057268722467,49.1084469727317
70,0.02753644934974716,86.95652173913044,48.22864217705697
71,0.02370084159775197,85.83690987124463,47.3753010728134
72,0.02039950341117196,84.74576271186442,46.54731364560793
73,0.017558015301105876,83.68200836820084,45.743629293038204
74,0.015112323819855033,82.64462809917356,44.96325297326377
75,0.01300729765406762,81.63265306122449,44.20524164575079
76,0.01119548484259094,80.64516129032258,43.46870097887673
77,0.00963604310396387,79.6812749003984,42.75278230154121
78,0.00829381916075737,78.74015748031496,42.05667977812426
79,0.007138556306690845,77.82101167315176,41.37962778809583
80,0.00614421235332821,76.92307692307692,40.72089849333573
81,0.005288372581358964,76.04562737642586,40.07979957779734
82,0.004551744463083239,75.18796992481204,39.45567214555969
83,0.0039177227660243345,74.34944237918216,38.847888764581356
84,0.0033720152341391845,73.52941176470588,38.25585164460958
85,0.002902320408650404,72.72727272727273,37.678990938725946
86,0.002498050325866635,71.94244604316546,37.11676315893554
87,0.0021500918409846307,71.17437722419929,36.56864969704252
88,0.0018506011975819082,70.42253521126761,36.03415544280985
89,0.001592827211940512,69.68641114982579,35.51280749208454
90,0.0013709590863840845,68.96551724137932,35.00415393818771
91,0.001179995421003191,68.25938566552901,34.50776274042962
92,0.001015631471002492,67.56756756756758,34.02322066411854
93,0.0008741621082001594,66.88963210702342,33.55013228689405
94,0.0007523982992164213,66.22516556291392,33.088119066635535
95,0.000647595217584221,65.57377049180327,32.636818466578866
96,0.0005573903692694607,64.93506493506494,32.195883133622075
97,0.00047975033681273296,64.30868167202573,31.76498012611849
98,0.0004129249415873272,63.69426751592357,31.343790187745235
99,0.00035540779088906346,63.09148264984227,30.9320070642994
100,0.0003059023205018258,62.5,30.529336860516192
101,0.0002632925672628563,61.91950464396285,30.135497434224202
102,0.0002266180127765714,61.34969325153375,29.750217825355662
103,0.0001950519311983906,60.79027355623101,29.373237717515078
104,0.00016788275299956632,60.24096385542168,29.00430692997989
105,0.00014449802461092448,59.701492537313435,28.643184938162726
106,0.0001243706023602872,59.1715976331361,28.289640420708697
107,0.00010704676948428807,58.651026392961874,27.943450831532726
108,9.213600834566135e-05,58.139534883720934,27.604401995223522
109,7.930219729907653e-05,57.63688760806917,27.27228772435219
110,6.82560337633487e-05,57.142857142857146,26.94690945732664
111,5.8748512699252364e-05,56.657223796033996,26.628075915527724
112,5.05653134833552e-05,56.17977528089887,26.315602778550453
113,4.352196864555741e-05,55.71030640668524,26.009312376454645
114,3.745970556295258e-05,55.24861878453039,25.70903339800373
115,3.224186737256734e-05,54.794520547945204,25.414600613939715
116,2.775083242240756e-05,54.34782608695652,25.125854614405927
117,2.388536281840125e-05,53.908355795148246,24.842641559688293
118,2.0558322297604483e-05,53.475935828877006,24.564812943500662
119,1.7694711983465325e-05,53.05039787798409,24.292225368090335
120,1.5229979744712628e-05,52.63157894736842,24.02474033048704
